"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"直接使用login_test_data_params fixture获取测试数据","623","登录测试点 -登录密码为空","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login","",""
"","796","test_login[case0]","test_case","2026-03-23","broken","2026-03-23","TestLogin","test_case_login_yaml","",""
"","609","login_006-登录账号密码为空","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login_yaml","",""
"","687","goods_012-输入中文字符查询商品失败","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail_yaml","",""
"直接使用login_test_data_params fixture获取测试数据","753","登录测试点 -登录帐号不存在","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login","",""
"","1076","goods_010-输入空字符查询商品失败","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail_yaml","",""
"","592","login_008-登录密码有中文字符","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login_yaml","",""
"直接使用goods_test_data_params fixture获取测试数据","573","商品详情测试点 -不存在的商品145","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail","",""
"","649","goods_007-不存在的商品145查询失败","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail_yaml","",""
"","859","goods_008-不存在的商品9999999查询失败","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail_yaml","",""
"直接使用login_test_data_params fixture获取测试数据","614","登录测试点 -登录密码有中文字符","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login","",""
"直接使用login_test_data_params fixture获取测试数据","826","登录测试点 -登录帐号有中文字符","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login","",""
"","744","goods_003-商品3查询成功（库存0）","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail_yaml","",""
"直接使用goods_test_data_params fixture获取测试数据","688","商品详情测试点 -输入英文字符","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail","",""
"直接使用goods_test_data_params fixture获取测试数据","677","商品详情测试点 -输入中文字符","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail","",""
"直接使用goods_test_data_params fixture获取测试数据","652","商品详情测试点 -输入特殊字符","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail","",""
"直接使用goods_test_data_params fixture获取测试数据","1106","商品详情测试点 -不存在的商品13","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail","",""
"","724","goods_011-输入特殊字符查询商品失败","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail_yaml","",""
"","1041","test_goods_detail[case4]","test_case","2026-03-23","failed","2026-03-23","TestGoodsdetail","test_case_goodsdetail_yaml","",""
"","627","login_002-密码错误","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login_yaml","",""
"直接使用goods_test_data_params fixture获取测试数据","1609","商品详情测试点 -商品11","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail","",""
"","1737","test_goods_detail[case1]","test_case","2026-03-23","failed","2026-03-23","TestGoodsdetail","test_case_goodsdetail_yaml","",""
"直接使用login_test_data_params fixture获取测试数据","607","test_login[login_test_data_params0]","test_case","2026-03-23","failed","2026-03-23","TestLogin","test_case_login","",""
"直接使用goods_test_data_params fixture获取测试数据","697","商品详情测试点 -商品1","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail","",""
"直接使用goods_test_data_params fixture获取测试数据","768","test_goods_detail[goods_test_data_params1]","test_case","2026-03-23","failed","2026-03-23","TestGoodsdetail","test_case_goodsdetail","",""
"直接使用goods_test_data_params fixture获取测试数据","540","test_goods_detail[goods_test_data_params4]","test_case","2026-03-23","failed","2026-03-23","TestGoodsdetail","test_case_goodsdetail","",""
"直接使用goods_test_data_params fixture获取测试数据","1666","商品详情测试点 -输入空字符","test_case","2026-03-23","passed","2026-03-23","TestGoodsdetail","test_case_goodsdetail","",""
"直接使用login_test_data_params fixture获取测试数据","585","登录测试点 -登录账号密码为空","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login","",""
"","655","login_004-登录账号为空","test_case","2026-03-23","passed","2026-03-23","TestLogin","test_case_login_yaml","",""
