2026-04-28 11:35:34,266 | DEBUG | [REQ-2026-04-28-7692-0001] | -------------------------------------------------------------------------------------------
2026-04-28 11:35:34,266 | DEBUG | [REQ-2026-04-28-7692-0001] | 请求信息:
2026-04-28 11:35:34,266 | DEBUG | [REQ-2026-04-28-7692-0001] | ---request_url:---http://shop-xo.hctestedu.com/index.php?s=/api/user/login
2026-04-28 11:35:34,266 | DEBUG | [REQ-2026-04-28-7692-0001] | ---request_headers:---{'User-Agent': 'python-requests/2.27.1', 'Accept-Encoding': 'gzip, deflate, br', 'Accept': '*/*', 'Connection': 'keep-alive', 'application': 'web', 'application_client_type': 'PC', 'Content-Length': '58', 'Content-Type': 'application/json'}
2026-04-28 11:35:34,267 | DEBUG | [REQ-2026-04-28-7692-0001] | ---request_body:---b'{"type": "username", "accounts": "czj11", "pwd": "czj111"}'
2026-04-28 11:35:34,267 | DEBUG | [REQ-2026-04-28-7692-0001] | ---request_cookies:---<RequestsCookieJar[<Cookie PHPSESSID=varb1urpt3pl0slq9546d8all2 for shop-xo.hctestedu.com/>]>
2026-04-28 11:35:34,267 | DEBUG | [REQ-2026-04-28-7692-0001] | ---request_method:---POST
2026-04-28 11:35:34,267 | DEBUG | [REQ-2026-04-28-7692-0001] | ---request_data:---{'type': 'username', 'accounts': 'czj11', 'pwd': 'czj111'}
2026-04-28 11:35:34,268 | DEBUG | [REQ-2026-04-28-7692-0001] | 响应信息:
2026-04-28 11:35:34,268 | DEBUG | [REQ-2026-04-28-7692-0001] | ---response_code:---200
2026-04-28 11:35:34,268 | DEBUG | [REQ-2026-04-28-7692-0001] | ---response_headers:---{'Connection': 'close', 'Transfer-Encoding': 'chunked', 'Cache-Control': 'no-store, no-cache, must-revalidate', 'Content-Encoding': 'gzip', 'Content-Type': 'application/json; charset=utf-8', 'Date': 'Tue, 28 Apr 2026 03:35:32 GMT', 'Expires': 'Thu, 19 Nov 1981 08:52:00 GMT', 'Pragma': 'no-cache', 'Server': 'nginx', 'Set-Cookie': 'PHPSESSID=varb1urpt3pl0slq9546d8all2; path=/; HttpOnly', 'Vary': 'Accept-Encoding'}
